   104/149     20.6G    0.0316    0.1087         0    0.1403      1520       640    0.8162    0.8603    0.9053    0.5146   0.07101    0.6805         0
   105/149     20.6G   0.03219    0.1093         0    0.1414      1941       640    0.8184    0.8665    0.9074    0.5067    0.0724    0.6675         0
   106/149     20.6G   0.03188    0.1028         0    0.1347      1336       640    0.8049    0.8881    0.9104    0.5237   0.07149    0.6683         0
   107/149     20.6G    0.0321    0.1068         0    0.1389      1214       640    0.7988    0.8978    0.9087    0.5182   0.07125    0.6665         0
   108/149     20.6G   0.03166   0.09607         0    0.1277      1507       640    0.8067    0.8888    0.9087    0.5114   0.07153    0.6717         0
   109/149     20.6G   0.03198     0.109         0    0.1409      1476       640    0.8285    0.8603    0.9088    0.5111   0.07158    0.6718         0
   110/149     20.6G   0.03163     0.102         0    0.1336      1288       640    0.7909    0.9005    0.9068    0.5204      0.07    0.6699         0
   111/149     20.6G   0.03171    0.1067         0    0.1384      2043       640    0.8042    0.8943    0.9056    0.5173   0.07107    0.6717         0
   112/149     20.6G   0.03159   0.09719         0    0.1288      1529       640      0.81    0.8838    0.9039    0.5192   0.06917    0.6709         0
   113/149     20.6G   0.03153    0.1014         0    0.1329      1444       640    0.8191    0.8646    0.9004    0.5145   0.06842    0.6782         0
   114/149     20.6G   0.03096    0.0997         0    0.1307      1314       640    0.8304    0.8595    0.9018    0.5183   0.06906    0.6822         0
   115/149     20.6G   0.03108    0.1105         0    0.1416      1737       640    0.7985    0.8962    0.9068    0.5212    0.0701     0.665         0
   116/149     20.6G    0.0313   0.09849         0    0.1298      1470       640    0.8095    0.8798    0.9014     0.516   0.07076     0.677         0
   117/149     20.6G   0.03151    0.1098         0    0.1413      1823       640     0.812    0.8941    0.9084    0.5113    0.0709    0.6687         0
   118/149     20.6G   0.03149    0.1072         0    0.1387      1980       640    0.8656    0.8399    0.9055    0.5138   0.07157    0.6726         0
   119/149     20.6G   0.03106    0.1059         0     0.137      1886       640    0.8124    0.8838    0.9068    0.5107   0.07158    0.6728         0
   120/149     20.6G    0.0317    0.1064         0     0.138      1486       640    0.8043    0.8801    0.9004    0.5242   0.07088    0.6824         0
   121/149     20.6G   0.03114    0.1061         0    0.1372      1851       640    0.8052    0.8714     0.901    0.5083   0.07144    0.6814         0
   122/149     20.6G   0.03118    0.1058         0     0.137      1465       640    0.8498    0.8325    0.9028    0.5182   0.07064    0.6815         0
   123/149     20.6G   0.03103     0.101         0    0.1321      1890       640     0.814    0.8832     0.907    0.5227   0.07093    0.6756         0
   124/149     20.6G   0.03129    0.1021         0    0.1334      1450       640    0.7923     0.896    0.9005    0.5161   0.07038    0.6795         0
   125/149     20.6G   0.03065    0.1065         0    0.1372      1710       640    0.8033    0.8887    0.9059    0.5237   0.06985    0.6764         0
   126/149     20.6G   0.03043    0.1042         0    0.1346      1530       640    0.8573    0.8251    0.9058    0.5116   0.06993    0.6797         0
   127/149     20.6G   0.03032   0.09817         0    0.1285      1581       640    0.8253    0.8535    0.9035     0.519   0.06966    0.6833         0
   128/149     20.6G   0.03076    0.1055         0    0.1363      1647       640    0.8593    0.8305    0.9031    0.5197   0.06942    0.6765         0
   129/149     20.6G   0.03089    0.1038         0    0.1347      2249       640    0.8471    0.8375    0.9058    0.5178   0.07045    0.6776         0
   130/149     20.6G   0.03147    0.1046         0     0.136      2040       640    0.8237    0.8665    0.9027    0.5148   0.07061    0.6791         0
   131/149     20.6G   0.03024   0.09853         0    0.1288      1531       640    0.8321    0.8566    0.9005    0.5134   0.06957    0.6838         0
   132/149     20.6G   0.03108    0.1085         0    0.1396      1927       640    0.8517     0.838    0.9004    0.5081   0.07006    0.6819         0
   133/149     20.6G   0.03089    0.1047         0    0.1355      1237       640    0.8423    0.8518    0.9062    0.5167   0.06998    0.6832         0
   134/149     20.6G   0.03055    0.1049         0    0.1354      1472       640    0.8224    0.8677    0.9014    0.5185   0.06922    0.6883         0
   135/149     20.6G   0.03059    0.1093         0    0.1399      1638       640    0.8374    0.8609    0.9019    0.5159   0.06985    0.6818         0
   136/149     20.6G   0.02965    0.1022         0    0.1319      1920       640    0.8392    0.8578    0.9014    0.5075   0.07136    0.6777         0
   137/149     20.6G   0.03072    0.1007         0    0.1314      1380       640    0.8297    0.8585    0.9017     0.515   0.07023    0.6777         0
   138/149     20.6G   0.03029   0.09894         0    0.1292      1306       640    0.8457     0.833    0.8941    0.5032   0.07063    0.6875         0
   139/149     20.6G   0.03027     0.102         0    0.1323      1919       640    0.8123    0.8752    0.8987    0.5071   0.07027    0.6799         0
   140/149     20.6G   0.02977    0.1035         0    0.1332      1720       640    0.8531    0.8434    0.9029    0.5134   0.07053     0.675         0
   141/149     20.6G    0.0294   0.09754         0    0.1269      1181       640    0.8315     0.866    0.9017    0.5141   0.07021    0.6796         0
   142/149     20.6G   0.03002    0.1015         0    0.1316      1115       640     0.845    0.8491     0.896    0.5088   0.06995    0.6822         0
   143/149     20.6G   0.03009   0.09876         0    0.1288      1686       640    0.8189    0.8745    0.8966    0.5114   0.06975    0.6763         0
   144/149     20.6G   0.03043    0.1001         0    0.1305      1740       640    0.8339    0.8563    0.8975    0.5122   0.07024    0.6795         0
   145/149     20.6G   0.02996    0.1012         0    0.1312      1338       640     0.835    0.8541    0.8982    0.5071   0.07049    0.6783         0
   146/149     20.6G   0.02946    0.0964         0    0.1259      1440       640    0.8341    0.8514    0.8971    0.5062    0.0703    0.6871         0
   147/149     20.6G   0.03023    0.1051         0    0.1354      1802       640    0.8296    0.8616    0.8972    0.5109   0.07017    0.6874         0
   148/149     20.6G   0.03015    0.1049         0     0.135      2070       640    0.7967    0.8875    0.8936     0.509   0.07034    0.6862         0
   149/149     20.6G    0.0306    0.1038         0    0.1344      1460       640    0.8191    0.8566    0.8909    0.5102   0.06958    0.6928         0
